region_code,year,pH,organic_matter,available_p,k,ca,mg,silicic_acid
4420025000,2026,5.983,24.56,326.46,0.485,6.258,1.859,178.809
5119000000,2026,6.366,34.496,617.575,1.148,7.231,1.75,NA
4150010300,NA,6.3,19.3,122.5,NA,NA,NA,NA
4822034000,2025,5.773,32.858,338.756,0.804,10.425,1.232,NA
4374525000,2023,5.873,20.02,238.539,0.5,4.44,1.195,NA
4163031000,2026,6.365,20.707,539.903,0.619,8.417,1.433,289.017
4374040000,2026,6.001,22.508,489.18,0.746,7.164,1.439,78.0
4725033000,2026,6.318,15.312,342.201,0.872,8.588,2.258,455.719
1217043000,NA,NA,NA,NA,NA,NA,NA,NA
4423032000,2026,5.553,25.7,439.501,1.0,8.054,2.311,197.311
5176036000,2026,5.925,18.569,566.593,0.82,6.149,1.843,192.0
5117011200,2026,6.142,25.172,576.368,0.95,9.161,1.935,186.382
5121011000,2023,5.543,21.978,290.348,0.41,1.35,1.0,NA
5175025000,2026,6.159,25.471,565.171,0.867,11.728,3.599,NA
5219025000,NA,5.628,27.339,285.384,NA,NA,NA,NA
1278031000,NA,NA,NA,NA,NA,NA,NA,NA
4713000000,2023,5.922,25.373,464.897,1.24,8.795,1.91,678.0
4782000000,2026,5.585,27.213,494.147,1.001,8.828,2.601,137.946
4775032000,2026,5.862,23.601,533.994,0.734,7.019,2.533,193.611
5011000000,2026,5.485,46.256,344.873,0.786,7.983,1.424,NA
4155031000,NA,6.061,22.244,313.829,NA,NA,NA,NA
5176000000,2026,5.916,21.697,551.789,0.82,6.149,1.843,192.0
4150000000,NA,5.828,18.365,407.626,NA,NA,NA,NA
4831034000,2026,5.425,26.863,289.887,1.289,11.507,2.285,NA
4375025000,2026,5.609,25.954,226.359,0.579,5.766,1.717,158.515
4183025000,2026,6.203,20.483,423.828,0.282,7.637,1.901,585.874
4373025000,2026,6.062,20.877,382.523,0.259,4.155,0.746,120.0
4728010300,2026,5.837,20.891,291.011,0.649,8.311,2.087,187.382
1273025000,NA,NA,NA,NA,NA,NA,NA,NA
5280034000,2026,6.082,16.168,114.414,0.715,5.53,1.726,300.838
5172000000,2026,5.667,23.702,443.877,0.857,5.814,1.722,261.444
5123034000,2026,6.315,23.328,301.979,1.965,14.42,2.4,NA
5183025000,2024,5.789,19.525,306.369,0.71,3.111,1.189,188.333
5113037000,2025,5.927,15.565,326.993,1.028,7.067,1.1,NA
5219042000,NA,5.652,21.861,312.829,NA,NA,NA,NA
1274031000,NA,NA,NA,NA,NA,NA,NA,NA
4711000000,NA,5.96,26.56,404.575,NA,NA,NA,NA
4782033000,2026,5.768,29.401,463.642,1.001,8.828,2.601,137.946
4792032000,2026,6.017,21.681,465.651,0.378,5.447,1.226,98.135
5011013400,2026,5.284,46.136,487.835,0.786,7.983,1.424,NA
4180025000,2026,5.855,21.414,309.216,0.78,7.506,1.791,222.33
5181025000,2026,6.292,31.04,708.288,0.456,4.15,0.999,29.31
4165039000,2026,5.86,21.959,372.258,0.954,7.859,1.894,203.263
4817012200,2026,6.452,29.294,1288.91,0.637,9.587,1.903,221.0
4311000000,NA,5.924,18.531,286.694,NA,NA,NA,NA
4182025000,2026,5.693,25.415,336.842,0.335,3.945,0.867,277.663
4425031000,2025,5.946,33.691,463.304,0.433,5.963,1.464,147.629
4723025000,2026,5.611,26.7,650.115,0.734,7.146,2.095,316.119
1217039000,NA,NA,NA,NA,NA,NA,NA,NA
5271033000,2026,5.739,24.089,432.526,0.62,6.827,1.892,207.393
5180000000,2026,6.038,20.08,689.949,0.845,5.587,1.511,115.04
5123031000,2026,5.768,26.767,229.068,1.965,14.42,2.4,NA
4315025000,2026,5.949,23.329,377.538,0.743,12.311,3.045,434.375
5277040000,2026,5.762,29.554,261.319,0.523,4.94,1.17,345.495
1281033000,NA,NA,NA,NA,NA,NA,NA,NA
4711300000,NA,5.908,25.994,378.341,NA,NA,NA,NA
4782025000,2026,5.669,30.622,485.127,1.001,8.828,2.601,137.946
4792000000,2026,5.913,21.224,398.205,0.378,5.447,1.226,98.135
5011025600,2026,5.729,50.635,148.759,0.786,7.983,1.424,NA
4427000000,2026,6.072,20.053,127.458,0.36,6.544,2.177,333.238
5177025000,2026,5.895,25.117,474.033,1.005,8.519,1.966,NA
4167011200,2026,5.834,19.972,278.406,0.859,4.555,1.318,423.783
4884031000,2026,5.866,31.335,449.975,1.039,9.113,1.262,154.545
4313012200,2026,5.908,22.694,542.144,0.571,7.552,1.228,NA
4165034000,2026,5.864,19.072,494.213,0.954,7.859,1.894,203.263
4471031000,2026,5.921,17.592,471.245,0.516,10.321,2.832,105.5
4773025000,2026,6.025,23.519,511.519,0.739,7.898,2.433,212.0
1217037000,NA,NA,NA,NA,NA,NA,NA,NA
5271000000,2026,5.556,43.491,252.951,0.62,6.827,1.892,207.393
4777037000,2026,5.963,16.472,184.387,0.631,7.53,1.951,188.0
1272031000,NA,NA,NA,NA,NA,NA,NA,NA
1217034000,NA,NA,NA,NA,NA,NA,NA,NA
3171031000,NA,5.489,24.149,416.607,NA,NA,NA,NA
4782034000,2026,5.518,25.227,460.752,1.001,8.828,2.601,137.946
4717032000,NA,6.149,15.826,432.588,NA,NA,NA,NA
5011025000,2026,5.603,47.318,363.479,0.786,7.983,1.424,NA
4128000000,NA,NA,NA,NA,NA,NA,NA,NA
5177035000,2026,6.006,22.463,507.216,1.005,8.519,1.966,NA
4146100000,NA,5.743,21.558,217.534,NA,NA,NA,NA
4824012600,2023,6.157,34.277,551.694,0.973,NA,NA,NA
4377031000,2026,5.956,18.111,577.591,0.39,5.912,1.282,265.321
5178025900,2026,5.806,26.109,140.369,0.569,7.534,2.541,242.975
5274000000,2026,5.856,26.59,436.726,0.782,5.852,1.802,215.951
4729033000,NA,5.82,21.324,515.028,NA,NA,NA,NA
1215035000,NA,NA,NA,NA,NA,NA,NA,NA
5213036000,2023,5.968,26.093,168.514,0.4,5.4,1.8,NA
4793040000,2026,5.513,19.926,389.098,0.873,7.504,3.131,176.154
4784000000,2026,6.692,15.976,1261.474,0.882,9.892,3.211,141.017
1281034000,NA,NA,NA,NA,NA,NA,NA,NA
3171026200,NA,5.403,23.735,326.84,NA,NA,NA,NA
4827034000,2026,6.063,32.247,510.818,1.058,8.562,2.739,47.0
4776000000,2026,6.01,20.218,465.704,0.629,6.906,1.965,148.835
5011025900,2026,5.365,47.666,328.036,0.786,7.983,1.424,NA
4111000000,NA,NA,NA,NA,NA,NA,NA,NA
5119010100,2026,6.404,23.397,613.526,1.148,7.231,1.75,NA
4161010600,2026,5.498,22.125,466.792,0.942,6.752,1.541,86.8
4825011500,2026,5.73,28.146,268.004,0.463,8.334,2.231,196.974
4313011400,2026,6.39,20.78,667.062,0.571,7.552,1.228,NA
5111025000,NA,6.2,25.326,799.891,NA,NA,NA,NA
5273025000,2026,5.892,24.812,448.291,0.657,6.757,1.618,151.136
4719025000,2026,6.358,18.184,467.564,0.434,6.463,1.905,77.292
1284025000,NA,NA,NA,NA,NA,NA,NA,NA
5221036000,2026,5.929,25.457,100.095,0.737,5.484,1.989,200.571
4888000000,2026,5.856,29.692,431.439,0.569,5.433,1.184,224.289
1287025300,NA,NA,NA,NA,NA,NA,NA,NA
4827036000,2026,5.71,23.184,557.58,1.058,8.562,2.739,47.0
4776025000,2026,5.928,20.853,450.199,0.629,6.906,1.965,148.835
5011025300,2026,5.431,43.944,384.462,0.786,7.983,1.424,NA
4180036000,2026,6.03,22.27,387.357,0.78,7.506,1.791,222.33
5177025900,2026,6.047,25.12,516.31,1.005,8.519,1.966,NA
5173036000,2026,5.627,27.107,366.315,0.553,7.074,1.588,184.016
4882025000,2026,5.919,30.269,292.449,0.544,8.432,2.205,189.5
5179025000,2026,5.633,25.989,416.573,0.704,5.038,1.371,157.893
5271036000,2026,5.785,32.234,360.518,0.62,6.827,1.892,207.393
4719032000,2026,6.299,21.182,357.309,0.434,6.463,1.905,77.292
1217040000,NA,NA,NA,NA,NA,NA,NA,NA
4476031000,2026,6.217,17.285,444.711,1.124,7.944,2.831,141.978
4888031000,2026,5.954,29.76,451.096,0.569,5.433,1.184,224.289
1213013800,NA,NA,NA,NA,NA,NA,NA,NA
4874036000,2026,5.781,25.845,326.764,0.661,8.837,2.488,NA
4721039000,2026,5.948,20.192,496.197,0.953,6.765,1.686,171.769
4157035000,NA,5.835,25.006,219.231,NA,NA,NA,NA
4792039000,2026,5.75,24.168,573.262,0.378,5.447,1.226,98.135
4824033000,2023,5.749,30.042,286.044,0.973,NA,NA,NA
5275033000,2026,5.715,23.851,265.72,0.554,4.686,1.344,137.595
4725043000,2026,6.111,22.308,366.926,0.872,8.588,2.258,455.719
1275025000,NA,NA,NA,NA,NA,NA,NA,NA
5214025000,NA,5.591,24.547,168.044,NA,NA,NA,NA
4888025000,2026,6.202,28.566,764.47,0.569,5.433,1.184,224.289
1283034000,NA,NA,NA,NA,NA,NA,NA,NA
4812000000,NA,5.65,30.009,449.486,NA,NA,NA,NA
4775025000,2026,5.792,20.664,422.706,0.734,7.019,2.533,193.611
4159000000,NA,5.995,18.596,229.843,NA,NA,NA,NA
5274025000,2026,5.961,27.365,524.659,0.782,5.852,1.802,215.951
4721036000,2026,6.038,26.161,530.936,0.953,6.765,1.686,171.769
1276031000,NA,NA,NA,NA,NA,NA,NA,NA
5218038000,2026,6.146,25.521,335.37,0.94,6.763,2.426,72.0
4885033000,2026,5.797,30.014,486.332,0.647,8.505,2.268,187.543
