region_code,subsoil_texture_code,subsoil_gravel_code,slope_code
4420025000,02,01,02
5119000000,01,03,01
4150010300,02,01,01
4822034000,05,01,02
4374525000,02,01,03
4163031000,04,01,02
4374040000,02,01,01
4725033000,04,01,01
1217043000,NA,NA,NA
4423032000,02,01,01
5176036000,02,03,01
5117011200,02,01,01
5121011000,02,01,04
5175025000,06,03,04
5219025000,04,03,02
1278031000,NA,NA,NA
4713000000,NA,NA,NA
4782000000,NA,NA,NA
4775032000,04,01,02
5011000000,05,01,02
4155031000,02,01,01
5176000000,06,03,03
4150000000,02,01,05
4831034000,04,02,03
4375025000,02,01,02
4183025000,02,01,02
4373025000,02,02,02
4728010300,02,01,01
1273025000,NA,NA,NA
5280034000,02,01,01
5172000000,02,01,02
5123034000,04,02,05
5183025000,02,01,04
5113037000,04,03,01
5219042000,02,01,02
1274031000,NA,NA,NA
4711000000,NA,NA,NA
4782033000,06,01,01
4792032000,04,01,02
5011013400,05,01,02
4180025000,NA,NA,NA
5181025000,02,01,01
4165039000,04,01,02
4817012200,02,01,01
4311000000,NA,NA,NA
4182025000,01,03,01
4425031000,01,01,01
4723025000,06,01,01
1217039000,NA,NA,NA
5271033000,04,01,02
5180000000,02,02,03
5123031000,01,01,01
4315025000,02,01,01
5277040000,02,01,01
1281033000,NA,NA,NA
4711300000,NA,NA,NA
4782025000,NA,NA,NA
4792000000,02,01,04
5011025600,05,01,03
4427000000,NA,NA,NA
5177025000,04,03,02
4167011200,02,01,02
4884031000,04,02,04
4313012200,04,02,03
4165034000,02,01,01
4471031000,02,01,03
4773025000,05,01,02
1217037000,NA,NA,NA
5271000000,02,01,01
4777037000,04,01,03
1272031000,NA,NA,NA
1217034000,NA,NA,NA
3171031000,02,01,03
4782034000,04,03,03
4717032000,02,01,03
5011025000,05,01,02
4128000000,NA,NA,NA
5177035000,02,01,02
4146100000,NA,NA,NA
4824012600,04,03,02
4377031000,02,01,01
5178025900,06,01,01
5274000000,04,02,02
4729033000,06,01,02
1215035000,NA,NA,NA
5213036000,03,01,01
4793040000,02,01,03
4784000000,02,01,03
1281034000,NA,NA,NA
3171026200,04,01,01
4827034000,04,03,04
4776000000,05,01,04
5011025900,05,01,01
4111000000,NA,NA,NA
5119010100,01,03,01
4161010600,02,03,03
4825011500,06,01,01
4313011400,06,01,01
5111025000,NA,NA,NA
5273025000,02,02,04
4719025000,04,01,02
1284025000,NA,NA,NA
5221036000,05,01,01
4888000000,02,01,01
1287025300,NA,NA,NA
4827036000,05,01,01
4776025000,05,01,04
5011025300,04,02,04
4180036000,NA,NA,NA
5177025900,04,02,05
5173036000,02,01,02
4882025000,02,03,01
5179025000,02,02,06
5271036000,02,01,01
4719032000,02,01,01
1217040000,NA,NA,NA
4476031000,02,01,01
4888031000,02,01,02
1213013800,NA,NA,NA
4874036000,05,01,01
4721039000,04,02,04
4157035000,02,01,01
4792039000,04,03,03
4824033000,06,01,03
5275033000,02,01,01
4725043000,02,01,01
1275025000,NA,NA,NA
5214025000,06,01,01
4888025000,02,01,01
1283034000,NA,NA,NA
4812000000,NA,NA,NA
4775025000,02,03,01
4159000000,NA,NA,NA
5274025000,04,02,02
4721036000,04,02,03
1276031000,NA,NA,NA
5218038000,04,01,02
4885033000,04,01,02
1280031000,NA,NA,NA
4139011900,05,01,01
5272025000,02,01,04
2772031000,02,01,01
4885031000,04,02,03
4889046000,04,02,03
1277025000,NA,NA,NA
4413000000,NA,NA,NA
4725041000,04,01,02
4773033000,01,03,01
1279037000,NA,NA,NA
4128100000,NA,NA,NA
