code_type,code,label
subsoil_texture,01,사질
subsoil_texture,02,사양질
subsoil_texture,03,미사사양질
subsoil_texture,04,식양질
subsoil_texture,05,미사식양질
subsoil_texture,06,식질
subsoil_texture,99,기타
subsoil_gravel,01,없음_0-15%
subsoil_gravel,02,있음_15-35%
subsoil_gravel,03,심함_35%이상
subsoil_gravel,99,기타
slope,01,경사_0-2%
slope,02,경사_2-7%
slope,03,경사_7-15%
slope,04,경사_15-30%
slope,05,경사_30-60%
slope,06,경사_60-100%
slope,99,기타
do_se,0,경기도
do_se,1,강원도
do_se,2,충청북도
do_se,3,충청남도
do_se,4,전라북도
do_se,5,전라남도
do_se,6,경상북도
do_se,7,경상남도
do_se,8,제주특별자치도
do_se,9,서울특별시
do_se,10,부산광역시
do_se,11,대구광역시
do_se,12,인천광역시
do_se,13,광주광역시
do_se,14,대전광역시
do_se,15,울산광역시
do_se,16,기타
do_se,17,농촌진흥청
do_se,18,기상관제센터
do_se,19,세종특별자치시
climate_zone,0,확인불가
climate_zone,1,태백고랭
climate_zone,2,태백준고랭
climate_zone,3,소백산간
climate_zone,4,노령소백산간
climate_zone,5,영남내륙산간
climate_zone,6,중북부내륙
climate_zone,7,중부내륙
climate_zone,8,소백서부내륙
climate_zone,9,노령동서내륙
climate_zone,10,호남내륙
climate_zone,11,영남분지
climate_zone,12,영남내륙
climate_zone,13,중서부평야
climate_zone,14,차령남부평야
climate_zone,15,남서해안
climate_zone,16,남부해안
climate_zone,17,동해안북부
climate_zone,18,동해안중부
climate_zone,19,동해안남부
climate_zone,20,제주도
climate_zone,21,울릉도
crop,09001,사과(비옥지-1~4년)
crop,09011,배(비옥지-1~4년)
crop,04009,오이(노지재배)
crop,03001,감자(준고냉지및고냉지)
crop,07001,상추(노지재배)
