no,crop_Se_Cd,crop_Se_Nm,crop_Cd,crop_Nm
1,01,곡류(기타),00001,보리(중북부)
2,01,곡류(기타),00002,맥주보리
3,01,곡류(기타),00003,콩
4,01,곡류(기타),00004,콩(개간지)
5,01,곡류(기타),00005,옥수수
6,01,곡류(기타),00006,단옥수수
7,03,서류,00007,고구마
8,02,유지류,00009,참깨
9,02,유지류,00011,땅콩
10,06,인경채류,00013,양파
11,03,서류,00017,"감자(남부,봄재배)"
12,03,서류,00018,"감자(남부,가을재배)"
13,04,과채류,00019,고추(노지)
14,04,과채류,00020,고추(시설)
15,06,인경채류,00021,마늘
16,05,근채류,00023,생강(노지)
17,05,근채류,00024,생강(시설)
18,04,과채류,00025,토마토(노지)
19,04,과채류,00026,토마토(시설)
20,04,과채류,00027,오이(노지)
21,04,과채류,00028,오이(시설)
22,07,경엽채류,00029,상추(노지)
23,07,경엽채류,00030,상추(시설)
24,04,과채류,00031,딸기(노지)
25,04,과채류,00032,딸기(시설)
26,05,근채류,00033,당근
27,05,근채류,00035,무(노지)
28,05,근채류,00036,무(시설)
29,07,경엽채류,00037,배추(노지)
30,07,경엽채류,00038,배추(시설)
31,07,경엽채류,00039,양배추(노지)
32,07,경엽채류,00040,양배추(시설)
33,04,과채류,00041,참외(노지)
34,04,과채류,00042,참외(시설)
35,04,과채류,00043,수박(노지)
36,04,과채류,00044,수박(시설)
37,04,과채류,00046,가지(노지)
38,04,과채류,00047,가지(시설)
39,07,경엽채류,00048,시금치(노지)
40,07,경엽채류,00049,시금치(시설)
41,04,과채류,00050,호박(노지)
42,04,과채류,00051,호박(시설)
43,07,경엽채류,00052,쑥갓(노지)
44,07,경엽채류,00053,쑥갓(시설)
45,07,경엽채류,00054,셀러리(노지)
46,07,경엽채류,00055,셀러리(시설)
47,07,경엽채류,00056,부추(노지)
48,07,경엽채류,00057,부추(시설)
49,07,경엽채류,00058,엔다이브
50,07,경엽채류,00059,오너멘탈케일
51,07,경엽채류,00060,스위트팬넬
52,09,과수,00061,사과(1-4년생)
53,09,과수,00062,사과(5-9년생)
54,09,과수,00063,사과(10-14년생)
55,09,과수,00064,사과(15-19년생)
56,09,과수,00065,사과(20년생 이상)
57,09,과수,00066,배(1-4년생)
58,09,과수,00067,배(5-9년생)
59,09,과수,00068,배(10-14년생)
60,09,과수,00069,배(15-19년생)
61,09,과수,00070,배(20년생 이상)
62,09,과수,00071,포도(1-2년생)
63,09,과수,00072,포도(3-4년생)
64,09,과수,00073,포도(5-10년생)
65,09,과수,00074,포도(11년생 이상)
66,09,과수,00075,복숭아(1-2년생)
67,09,과수,00076,복숭아(3-4년생)
68,09,과수,00077,복숭아(5-10년생)
69,09,과수,00078,복숭아(11년생 이상)
70,12,기타,00082,뽕나무(신규조성)
71,12,기타,00083,뽕나무
72,09,과수,00091,감귤온주(화산)1~2년
73,09,과수,00092,감귤온주(화산)3~7년
74,09,과수,00093,감귤온주(화산)8~12년
75,09,과수,00094,감귤온주(화산)13~17년
76,09,과수,00095,감귤만감(화산)1~5년
77,09,과수,00096,감귤만감(화산)6~10년
78,09,과수,00097,감귤만감(화산)11~19년
79,09,과수,00098,감귤만감(화산)20년이상
80,09,과수,00099,감귤온주(비화)1~2년
81,09,과수,00100,감귤온주(비화)3~7년
82,09,과수,00101,감귤온주(비화)8~12년
83,09,과수,00102,감귤온주(비화)13~17년
84,09,과수,00103,감귤만감(비화)1~5년
85,09,과수,00104,감귤만감(비화)6~10년
86,09,과수,00105,감귤만감(비화)11~19년
87,09,과수,00106,감귤만감(비화)20년이상
88,09,과수,00107,밤나무(1년생)
89,09,과수,00108,밤나무(2년생)
90,09,과수,00109,밤나무(3년생)
91,09,과수,00110,밤나무(4년생)
92,09,과수,00111,밤나무(5-6년생)
93,09,과수,00112,밤나무(7-9년생)
94,09,과수,00113,밤나무(10-14년생)
95,09,과수,00114,밤나무(15-19년생)
96,09,과수,00115,밤나무(20-25년생)
97,11,화훼류,00121,장미
98,11,화훼류,00122,국화
99,11,화훼류,00124,카네이션(시설재배)
100,11,화훼류,00125,구근류(시설재배)
101,11,화훼류,00126,1년초(절화)
102,11,화훼류,00127,1년초(노지)
103,12,기타,00128,"연초(담배,황색종)"
104,12,기타,00129,"연초(담배, 버이리종)"
105,02,유지류,00130,유채(고정품종)점파
