no,stn_Cd,stn_Name,date,temp,hghst_Artmp,lowst_Artmp,hum,widdir,wind,max_Wind,rn,sun_Time,srqty,condens_Time,gr_Temp,soil_Temp,soil_Wt
1,580813A001,정읍시 정우면,2025-01-01,1.3,9.7,-4.7,75.1,287.7,0.5,5.5,0.0,,8.37,257.0,,,
2,580813A001,정읍시 정우면,2025-01-02,1.0,7.3,-3.0,71.4,283.7,0.5,4.6,0.0,,8.49,640.0,,,
3,580813A001,정읍시 정우면,2025-01-03,0.3,4.5,-3.9,63.6,255.8,0.7,5.2,0.0,,8.54,389.0,,,
4,580813A001,정읍시 정우면,2025-01-04,0.5,5.9,-3.4,76.7,95.3,0.4,4.1,0.0,,7.41,884.0,,,
5,580813A001,정읍시 정우면,2025-01-05,2.2,6.3,-3.4,87.9,108.6,0.5,3.0,3.5,,2.51,1047.0,,,
6,580813A001,정읍시 정우면,2025-01-06,2.7,5.6,-1.1,82.6,299.0,1.4,9.5,1.5,,2.82,878.0,,,
7,580813A001,정읍시 정우면,2025-01-07,-1.1,1.7,-3.3,90.7,256.0,0.5,5.7,2.0,,4.49,1108.0,,,
8,580813A001,정읍시 정우면,2025-01-08,-1.1,4.4,-4.8,92.7,296.7,0.7,9.5,6.0,,5.38,411.0,,,
9,580813A001,정읍시 정우면,2025-01-09,-7.5,-2.7,-12.8,79.8,294.5,1.0,6.7,0.5,,6.13,113.0,,,
10,580813A001,정읍시 정우면,2025-01-10,-8.1,-1.5,-15.4,76.6,95.1,0.4,3.9,0.5,,9.28,149.0,,,
11,580813A001,정읍시 정우면,2025-01-11,-2.7,1.6,-6.2,80.4,101.9,0.4,2.9,2.0,,7.63,69.0,,,
12,580813A001,정읍시 정우면,2025-01-12,-2.2,3.1,-6.8,80.4,271.3,0.3,3.1,2.0,,8.42,24.0,,,
13,580813A001,정읍시 정우면,2025-01-13,0.5,6.0,-3.8,79.0,240.2,0.4,5.1,1.5,,8.35,239.0,,,
14,580813A001,정읍시 정우면,2025-01-14,3.5,10.1,-0.6,73.5,285.1,0.8,6.1,0.0,,7.58,83.0,,,
15,580813A001,정읍시 정우면,2025-01-15,-0.9,2.0,-2.9,66.6,303.0,1.0,7.7,0.0,,6.53,431.0,,,
16,580813A001,정읍시 정우면,2025-01-16,0.8,6.9,-2.6,65.9,280.1,0.8,6.4,0.0,,7.37,0.0,,,
17,580813A001,정읍시 정우면,2025-01-17,0.1,5.2,-4.1,68.7,278.9,0.5,3.9,0.0,,9.37,561.0,,,
18,580813A001,정읍시 정우면,2025-01-18,-0.5,7.6,-6.8,69.5,313.7,0.4,3.1,0.0,,8.43,221.0,,,
19,580813A001,정읍시 정우면,2025-01-19,1.2,9.5,-6.2,76.1,114.5,0.5,4.5,0.0,,6.83,374.0,,,
20,580813A001,정읍시 정우면,2025-01-20,2.0,7.8,-1.9,81.7,291.2,0.4,4.1,0.0,,5.05,903.0,,,
21,580813A001,정읍시 정우면,2025-01-21,1.1,8.3,-3.9,80.0,279.4,0.3,3.2,0.0,,8.66,913.0,,,
22,580813A001,정읍시 정우면,2025-01-22,2.4,10.1,-3.7,85.2,301.3,0.4,3.8,0.0,,6.35,965.0,,,
23,580813A001,정읍시 정우면,2025-01-23,1.3,8.8,-2.7,80.8,289.1,0.4,3.4,0.0,,8.42,737.0,,,
24,580813A001,정읍시 정우면,2025-01-24,0.6,9.8,-5.9,72.6,289.2,0.4,4.3,0.0,,9.26,210.0,,,
25,580813A001,정읍시 정우면,2025-01-25,3.1,12.0,-5.7,65.2,116.5,0.6,4.3,0.0,,10.32,79.0,,,
26,580813A001,정읍시 정우면,2025-01-26,4.7,8.6,-0.4,58.2,94.8,0.7,4.3,0.0,,5.64,21.0,,,
27,580813A001,정읍시 정우면,2025-01-27,0.7,4.2,-2.9,85.5,260.7,1.3,8.9,6.0,,6.19,966.0,,,
28,580813A001,정읍시 정우면,2025-01-28,-1.6,1.2,-3.0,89.2,271.6,1.9,9.5,3.0,,5.93,993.0,,,
29,580813A001,정읍시 정우면,2025-01-29,-2.0,1.4,-7.0,79.8,293.8,1.2,7.5,2.0,,8.21,246.0,,,
30,580813A001,정읍시 정우면,2025-01-30,-1.1,6.1,-7.4,79.3,91.3,0.6,3.8,2.5,,9.84,303.0,,,
31,580813A001,정읍시 정우면,2025-01-31,2.7,8.3,-3.4,80.6,100.3,0.8,4.1,1.5,,4.38,834.0,,,
32,580813A001,정읍시 정우면,2025-02-01,4.2,6.4,1.2,96.3,355.2,0.4,3.3,6.5,,2.49,1020.0,,,
33,580813A001,정읍시 정우면,2025-02-02,1.6,6.1,-1.9,89.1,269.8,0.4,3.6,0.5,,5.96,396.0,,,
34,580813A001,정읍시 정우면,2025-02-03,-0.7,2.5,-4.5,69.3,303.1,1.9,10.2,0.0,,6.85,293.0,,,
35,580813A001,정읍시 정우면,2025-02-04,-5.6,-4.0,-7.1,84.0,300.2,1.0,6.4,0.0,,5.13,266.0,,,
36,580813A001,정읍시 정우면,2025-02-05,-6.4,-2.9,-12.6,79.1,286.3,0.6,5.2,2.5,,7.19,155.0,,,
37,580813A001,정읍시 정우면,2025-02-06,-4.9,1.0,-12.6,74.6,196.8,0.3,4.0,2.5,,9.72,120.0,,,
38,580813A001,정읍시 정우면,2025-02-07,-5.3,0.0,-8.7,87.1,304.2,1.5,11.7,0.0,,3.44,653.0,,,
39,580813A001,정읍시 정우면,2025-02-08,-6.5,-1.9,-12.4,79.2,288.0,0.6,5.8,4.0,,10.73,678.0,,,
40,580813A001,정읍시 정우면,2025-02-09,-4.0,1.0,-10.1,76.7,303.8,0.3,3.5,3.0,,10.18,678.0,,,
41,580813A001,정읍시 정우면,2025-02-10,-2.8,2.9,-8.6,81.2,262.5,0.3,3.8,2.5,,10.05,504.0,,,
42,580813A001,정읍시 정우면,2025-02-11,-0.5,8.2,-7.8,70.0,86.1,0.6,4.9,0.0,,12.28,117.0,,,
43,580813A001,정읍시 정우면,2025-02-12,2.1,4.5,0.3,87.6,316.3,1.3,9.4,6.0,,1.09,923.0,,,
44,580813A001,정읍시 정우면,2025-02-13,0.4,6.2,-5.9,59.2,295.3,1.0,6.0,0.0,,13.10,6.0,,,
45,580813A001,정읍시 정우면,2025-02-14,1.7,10.4,-4.6,74.8,283.4,0.5,4.5,0.0,,12.25,302.0,,,
46,580813A001,정읍시 정우면,2025-02-15,2.0,8.6,-3.6,78.0,248.3,0.3,2.7,0.0,,5.38,576.0,,,
47,580813A001,정읍시 정우면,2025-02-16,4.5,11.6,-1.1,81.1,273.4,1.2,8.7,0.0,,10.26,588.0,,,
48,580813A001,정읍시 정우면,2025-02-17,1.0,5.6,-4.0,54.6,296.7,1.6,11.2,0.0,,12.59,0.0,,,
49,580813A001,정읍시 정우면,2025-02-18,-1.4,3.5,-6.3,60.5,300.8,1.4,12.3,0.0,,12.84,0.0,,,
50,580813A001,정읍시 정우면,2025-02-19,-2.1,2.5,-7.1,61.4,293.9,1.3,10.2,0.0,,12.59,0.0,,,
51,580813A001,정읍시 정우면,2025-02-20,-2.8,3.0,-7.9,62.7,292.4,1.1,9.3,0.0,,12.90,0.0,,,
52,580813A001,정읍시 정우면,2025-02-21,-2.7,3.3,-7.3,63.2,290.7,1.0,8.1,0.0,,12.89,0.0,,,
53,580813A001,정읍시 정우면,2025-02-22,-1.7,3.3,-5.2,69.8,279.5,0.8,6.0,1.0,,14.00,128.0,,,
54,580813A001,정읍시 정우면,2025-02-23,-1.8,2.4,-6.2,62.1,299.9,1.7,12.6,0.0,,10.05,5.0,,,
55,580813A001,정읍시 정우면,2025-02-24,-1.3,4.3,-6.8,67.2,289.7,1.0,7.6,0.0,,13.70,0.0,,,
56,580813A001,정읍시 정우면,2025-02-25,0.9,8.0,-6.4,70.7,252.2,0.9,5.9,0.0,,11.75,145.0,,,
57,580813A001,정읍시 정우면,2025-02-26,3.2,10.0,-3.4,60.5,293.3,0.8,6.2,0.0,,14.04,538.0,,,
