no,Obsr_Spot_Code,Obsr_Spot_Nm,Do_Se_Code,Mgc_Code,Clmt_Zone_Code,Comm_Mthd_Code,Instl_La,Instl_Lo,Instl_Al,Instl_Adres,Obsr_Begin_Datetm
1,336812A001,아산시 염치읍,3,149,13,1,36.8257331962636,126.9679648119612,10.0,충남 아산시 염치읍 염치1길 40,2012-08-16
2,363883B001,청원군 오창읍,2,126,8,1,36.7230478063796,127.4650762159567,40.0,충청북도 청원군 오창읍 가곡길 46,2011-01-26
3,026002D003,태백시 매봉산,1,1,2,1,37.2230846246554,128.9651492465881,1153.0,강원도 태백시 창죽동 9-85,2015-12-16
4,467800A001,이천시 중리동,0,20,7,1,37.2726129367864,127.4330550458393,90.0,경기도 이천시 부악로 38-52  (중리동),2010-11-08
5,650821A001,통영시 광도면,7,116,16,1,34.8756200000000,128.4122800000000,42.0,경상남도 통영시 광도면 향교옆길 31,2010-09-30
6,656933A001,거제시 거제면,7,106,16,1,34.8565302375252,128.5805123815934,41.0,경남 거제시 거제면 거제남서로 3577(거제시농업개발원),2010-11-04
7,027926A001,증평군 증평읍,2,181,8,1,36.7812000000000,127.6122000000000,77.0,충청북도 증평군 증평읍 사곡리 316,2026-07-01
8,017421F029,이천시 진암리,0,3,7,1,37.1211258000000,127.6095615000000,129.4,경기 이천시 장호원읍 진암리 328-1(서동대로8759번길 97-103),2018-11-14
9,011104F031,포천시 영북면,0,3,7,1,38.0913440000000,127.2809310000000,129.4,경기도 포천시 영북면 운천리 산1번지,2019-10-01
10,456871A001,안성시 보개면,0,11,13,1,37.0239266061455,127.2877656132125,73.0,경기도 안성시 보개면 보개원삼로 219,2010-12-13
11,482841A001,양주시 은현면,0,13,6,1,37.8204658690557,126.9726989790633,107.0,경기도 양주시 은현면 그루고개로 221번길 252,2010-12-06
12,469803A001,여주시 상거동,0,15,7,1,37.2522643661190,127.6379650326619,87.0,경기도 여주군 여주읍 상거리 5-6,2010-11-10
13,476801A001,양평군 양평읍,0,14,6,1,37.5089763605439,127.5129549811034,191.0,경기도 양평군 양평읍 농업기술센터길 37,2010-09-28
14,486803A001,연천군 연천읍,0,16,13,1,38.0843632868409,127.0784322641421,49.0,경기도 연천군 연천읍 동막리 431-12(연천로 42번길),2010-11-12
15,449872A001,용인시 처인구,0,17,7,1,37.1738676491051,127.2989065316915,149.0,경기도 용인시 처인구 원삼면 농촌파크로 80,2010-11-10
16,370853A001,영동군 심천면,2,42,4,1,36.2068785810895,127.7163816470953,100.0,충북 영동군 심천면 약목리 282번지 실증시험포,2010-09-28
17,343808A001,당진시 당진읍,3,52,13,1,36.9137723330210,126.6496889758083,11.0,충남 당진군 당진읍 구봉로 46,2010-11-10
18,411801A001,고양시 구산동,0,155,13,1,37.6745378617658,126.7007004677447,24.0,경기도 고양시 일산서구 구산동 1942,2010-12-06
19,477802A001,가평군 가평읍,0,6,6,1,37.8462172893295,127.5006371661440,80.0,경기도 가평군 가평읍 아랫마장길 59,2011-05-22
20,441707D001,수원시 서둔동,0,1,13,1,37.2736097877224,126.9929953999386,46.0,수원시 권선구 서둔동 1-22,2013-03-21
21,486831E011,연천군 신서면,0,2,13,1,38.1715790836453,127.1033466271985,126.0,경기도 연천군 신서면 도신리 146-8,2014-12-15
22,415743A001,김포시 월곶면,0,154,13,1,37.6948926398265,126.5561499880861,43.0,경기도 김포시 월곶면 오리정로 13,2010-12-14
23,018544F032,화성시 마도면,0,3,13,1,37.1720760000000,126.7523650000000,283.4,경기도 화성시 마도면 해운로 630번길 13,2019-10-16
24,472830A001,남양주 진건읍,0,146,13,1,37.6497750888798,127.1932722632196,88.0,경기도 남양주시 진건읍 사릉로 234-46,2012-06-05
25,429843A001,시흥시 하중동,0,10,13,1,37.4010444413861,126.8079020007737,12.0,경기도 시흥시 하중동 224-1,2010-11-05
26,017414F020,이천시 장호원,0,3,7,1,37.1147000000000,127.5906000000000,72.0,경기 이천시 장호원읍 송산리 453-1,2017-11-24
27,037251A006,상주시 낙동면,6,93,11,1,36.3671100000000,128.3083900000000,52.0,경상북도 상주시 낙동면 낙동리 209-1,2024-11-28
28,365803A001,진천군 진천읍,2,45,8,1,36.8538590918434,127.4297729675491,101.0,충북 진천군 진천읍  삼덕1길 45-16,2010-11-18
29,745230A001,문경시 흥덕동,6,91,11,1,36.6138889000000,128.2075306000000,85.0,경상북도 문경시 창리강변길47  (흥덕동),2001-07-01
30,031028F034,천안시 직산읍,3,3,13,1,36.8894516000000,127.0961545000000,18.8,"충청남도 천안시 서북구 직산읍 돌실길 73 ,  이팜스",2021-06-25
31,520853A003,나주시 봉황면,5,162,10,1,34.9582147267742,126.7484046413390,29.0,나주시 봉황면 욱곡리 654-5,2013-12-25
32,412040A002,고양시 덕양구,0,155,13,1,37.6491864475750,126.8703671533860,39.0,경기도 고양시 덕양구 고양대로 1695  (원흥동),2013-08-24
33,464030A001,광주시 목현동,0,8,7,1,37.4323154274877,127.2339451285324,91.0,경기도 광주시 이배재로 209-5,2010-11-01
34,038882F017,영천시 금호읍,6,3,11,1,35.9206520000000,128.8636650000000,77.0,경북 영천시 금호읍 가라골1길 77-11,2017-11-24
35,037339B009,의성군 의성읍,6,177,11,1,36.3415887078891,128.7428047840330,142.0,의성군 의성읍 상리리 133-6,2007-03-20
36,363844A001,청주시 남일면,2,47,8,1,36.5879445321045,127.5064587060118,58.0,충청북도 청원군 남일면 단재로 480,2011-01-07
37,320862A001,논산시 광석면,3,150,14,1,36.2279532874194,127.0856028936476,31.0,충남 논산시 광석면 이사리 389-1,2012-08-14
38,413813A001,파주시 아동동,0,21,13,1,37.7646989633352,126.7961808006711,23.0,경기도 파주시 아동동 91-6,2010-11-11
39,487915A001,포천시 신북면,0,23,6,1,37.9236499726384,127.2257303196088,128.0,경기도 포천시 신북면 틀못이길 11-88,2010-11-26
40,232815E001,평창군 운교리,1,2,2,1,37.5374949216551,128.4406770242452,622.5,강원도 평창군 대화면 신리 1995-12 서울대학교 평창캠퍼스 내,2011-03-11
41,210913E001,강릉 안반덕이,1,2,1,1,37.6190656420553,128.7374833157384,1099.0,강원도 강릉시 왕산면 대기4리 안반덕이,2012-07-12
