bjd_nm,stdg_cd,acid_fachs1_area,acid_fachs2_area,acid_fachs3_area,acid_fachs4_area,acid_fachs5_area,acid_fachs6_area,acid_fruit1_area,acid_fruit2_area,acid_fruit3_area,acid_fruit4_area,acid_fruit5_area,acid_fruit6_area,acid_pfld1_area,acid_pfld2_area,acid_pfld3_area,acid_pfld4_area,acid_pfld5_area,acid_pfld6_area,acid_rfld1_area,acid_rfld2_area,acid_rfld3_area,acid_rfld4_area,acid_rfld5_area,acid_rfld6_area,om_fachs1_area,om_fachs2_area,om_fachs3_area,om_fachs4_area,om_fachs5_area,om_fachs6_area,om_fruit1_area,om_fruit2_area,om_fruit3_area,om_fruit4_area,om_fruit5_area,om_fruit6_area,om_pfld1_area,om_pfld2_area,om_pfld3_area,om_pfld4_area,om_pfld5_area,om_pfld6_area,om_rfld1_area,om_rfld2_area,om_rfld3_area,om_rfld4_area,om_rfld5_area,om_rfld6_area,posifertca_fachs1_area,posifertca_fachs2_area,posifertca_fachs3_area,posifertca_fachs4_area,posifertca_fachs5_area,posifertca_fachs6_area,posifertca_fruit1_area,posifertca_fruit2_area,posifertca_fruit3_area,posifertca_fruit4_area,posifertca_fruit5_area,posifertca_fruit6_area,posifertca_pfld1_area,posifertca_pfld2_area,posifertca_pfld3_area,posifertca_pfld4_area,posifertca_pfld5_area,posifertca_pfld6_area,posifertca_rfld1_area,posifertca_rfld2_area,posifertca_rfld3_area,posifertca_rfld4_area,posifertca_rfld5_area,posifertca_rfld6_area,posifertk_fachs1_area,posifertk_fachs2_area,posifertk_fachs3_area,posifertk_fachs4_area,posifertk_fachs5_area,posifertk_fachs6_area,posifertk_fruit1_area,posifertk_fruit2_area,posifertk_fruit3_area,posifertk_fruit4_area,posifertk_fruit5_area,posifertk_fruit6_area,posifertk_pfld1_area,posifertk_pfld2_area,posifertk_pfld3_area,posifertk_pfld4_area,posifertk_pfld5_area,posifertk_pfld6_area,posifertk_rfld1_area,posifertk_rfld2_area,posifertk_rfld3_area,posifertk_rfld4_area,posifertk_rfld5_area,posifertk_rfld6_area,posifertmg_fachs1_area,posifertmg_fachs2_area,posifertmg_fachs3_area,posifertmg_fachs4_area,posifertmg_fachs5_area,posifertmg_fachs6_area,posifertmg_fruit1_area,posifertmg_fruit2_area,posifertmg_fruit3_area,posifertmg_fruit4_area,posifertmg_fruit5_area,posifertmg_fruit6_area,posifertmg_pfld1_area,posifertmg_pfld2_area,posifertmg_pfld3_area,posifertmg_pfld4_area,posifertmg_pfld5_area,posifertmg_pfld6_area,posifertmg_rfld1_area,posifertmg_rfld2_area,posifertmg_rfld3_area,posifertmg_rfld4_area,posifertmg_rfld5_area,posifertmg_rfld6_area,vldpha_fachs1_area,vldpha_fachs2_area,vldpha_fachs3_area,vldpha_fachs4_area,vldpha_fachs5_area,vldpha_fachs6_area,vldpha_fruit1_area,vldpha_fruit2_area,vldpha_fruit3_area,vldpha_fruit4_area,vldpha_fruit5_area,vldpha_fruit6_area,vldpha_pfld1_area,vldpha_pfld2_area,vldpha_pfld3_area,vldpha_pfld4_area,vldpha_pfld5_area,vldpha_pfld6_area,vldpha_rfld1_area,vldpha_rfld2_area,vldpha_rfld3_area,vldpha_rfld4_area,vldpha_rfld5_area,vldpha_rfld6_area,vldsia_rfld1_area,vldsia_rfld2_area,vldsia_rfld3_area,vldsia_rfld4_area,vldsia_rfld5_area,vldsia_rfld6_area
서울특별시 종로구,1111000000,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,3,2,1,0,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,1,1,2,1,1,5,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,0,1,2,1,1,5,-,-,-,-,-,-,0,1,0,0,0,0,-,-,-,-,-,-,2,4,2,1,1,0,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,1,1,1,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 중구,1114000000,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,2,4,15,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,0,0,0,4,6,8,3,1,1,-,-,-,-,-,-,0,0,0,0,0,1,0,1,0,0,0,2,1,1,3,4,2,11,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,1,3,0,1,3,3,2,13,-,-,-,-,-,-,0,0,0,0,0,1,0,1,1,0,1,1,2,5,5,4,1,6,-,-,-,-,-,-,0,0,0,0,0,1,2,0,0,0,0,1,3,2,1,2,1,13,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 용산구,1117000000,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,1,2,16,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,3,5,6,3,2,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,1,2,14,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,2,0,0,1,3,3,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,10,5,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,2,6,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 성동구,1120000000,-,-,-,-,-,-,0,0,0,1,1,16,0,0,0,0,1,7,-,-,-,-,-,-,-,-,-,-,-,-,6,3,2,2,2,2,3,3,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,2,2,12,0,0,1,1,1,5,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,3,2,12,0,2,1,2,1,3,-,-,-,-,-,-,-,-,-,-,-,-,0,3,2,1,3,9,1,3,2,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,6,3,3,1,1,4,2,2,2,1,1,2,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 광진구,1121500000,-,-,-,-,-,-,0,0,0,0,0,2,0,0,1,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,1,1,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,0,1,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 동대문구,1123000000,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,2,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,0,0,1,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 중랑구,1126000000,-,-,-,-,-,-,1,2,2,4,10,12,12,10,9,8,12,17,-,-,-,-,-,-,-,-,-,-,-,-,1,3,9,9,10,5,5,21,20,9,11,7,-,-,-,-,-,-,-,-,-,-,-,-,3,1,6,4,3,19,26,8,6,7,8,18,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,1,33,6,11,10,10,6,29,-,-,-,-,-,-,-,-,-,-,-,-,0,5,4,9,5,12,31,20,11,4,4,2,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,32,4,3,1,2,1,61,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 성북구,1129000000,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,0,1,2,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,1,2,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,0,1,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 강북구,1130500000,-,-,-,-,-,-,0,0,0,0,0,1,0,0,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 도봉구,1132000000,-,-,-,-,-,-,0,0,0,0,0,1,2,1,1,3,5,14,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,0,2,3,8,6,7,2,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,0,2,2,1,1,2,19,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,0,1,3,3,21,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,3,5,7,4,2,7,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,2,1,21,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 노원구,1135000000,-,-,-,-,-,-,0,1,0,0,1,6,1,2,2,3,4,8,-,-,-,-,-,-,-,-,-,-,-,-,1,4,2,1,0,0,3,6,3,5,2,2,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,2,4,2,2,1,2,11,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,4,0,1,2,3,3,13,-,-,-,-,-,-,-,-,-,-,-,-,1,2,3,1,0,1,5,7,4,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,0,0,3,3,2,1,0,1,14,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 은평구,1138000000,-,-,-,-,-,-,0,0,0,0,0,1,0,1,0,0,1,8,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,4,4,2,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,1,1,1,1,1,1,7,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,1,0,1,3,2,1,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,6,2,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,0,0,0,4,2,2,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-
서울특별시 서대문구,1141000000,-,-,-,-,-,-,0,0,0,0,0,3,0,0,0,0,0,4,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0,0,0,1,1,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,0,0,0,1,0,3,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,3,0,0,0,0,1,3,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,1,1,1,2,1,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,0,0,0,0,1,0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-
