bjd_code,altitude_m,altitude_source
1111010100,44,region_point
1111010200,44,region_point
1111010300,44,region_point
1111010400,44,region_point
1111010500,44,region_point
1111010600,44,region_point
1111010700,44,region_point
1111010800,44,region_point
1111010900,44,region_point
1111011000,44,region_point
1111011100,44,region_point
1111011200,44,region_point
1111011300,44,region_point
1111011400,44,region_point
1111011500,49,emd_point
1111011600,44,region_point
1111011700,44,region_point
1111011800,44,region_point
1111011900,44,region_point
1111012000,44,region_point
1111012100,44,region_point
1111012200,44,region_point
1111012300,44,region_point
1111012400,44,region_point
1111012500,44,region_point
1111012600,44,region_point
1111012700,44,region_point
1111012800,44,region_point
1111012900,44,region_point
1111013000,44,region_point
1111013100,44,region_point
1111013200,44,region_point
1111013300,44,region_point
1111013400,44,region_point
1111013500,44,region_point
1111013600,44,region_point
1111013700,44,region_point
1111013800,44,region_point
1111013900,44,region_point
1111014000,62,emd_point
1111014100,44,region_point
1111014200,44,region_point
1111014300,44,region_point
1111014400,44,region_point
1111014500,44,region_point
1111014600,46,emd_point
1111014700,44,region_point
1111014800,44,region_point
1111014900,44,region_point
1111015000,44,region_point
1111015100,44,region_point
1111015200,44,region_point
1111015300,44,region_point
1111015400,44,region_point
1111015500,44,region_point
1111015600,44,region_point
1111015700,44,region_point
1111015800,44,region_point
1111015900,44,region_point
1111016000,44,region_point
1111016100,44,region_point
1111016200,44,region_point
1111016300,44,region_point
1111016400,44,region_point
1111016500,39,emd_point
1111016600,44,region_point
1111016700,44,region_point
1111016800,44,region_point
1111016900,39,emd_point
1111017000,44,region_point
1111017100,44,region_point
1111017200,44,region_point
1111017300,44,region_point
1111017400,44,region_point
1111017500,44,region_point
1111017600,43,emd_point
1111017700,44,region_point
1111017800,44,region_point
1111017900,44,region_point
1111018000,44,region_point
1111018100,44,region_point
1111018200,44,region_point
1111018300,143,emd_point
1111018400,105,emd_point
1111018500,44,region_point
1111018600,44,region_point
1111018700,50,emd_point
1114010100,51,region_point
1114010200,51,region_point
1114010300,51,region_point
1114010400,51,region_point
1114010500,51,region_point
1114010600,51,region_point
1114010700,51,region_point
1114010800,51,region_point
1114010900,51,region_point
1114011000,51,region_point
1114011100,56,emd_point
1114011200,51,region_point
1114011300,51,region_point
1114011400,51,region_point
1114011500,51,region_point
1114011600,51,region_point
1114011700,51,region_point
1114011800,51,region_point
1114011900,51,region_point
1114012000,51,region_point
1114012100,51,region_point
1114012200,51,region_point
1114012300,51,region_point
1114012400,51,region_point
1114012500,51,region_point
1114012600,51,region_point
1114012700,51,region_point
1114012800,51,region_point
1114012900,51,region_point
1114013000,51,region_point
1114013100,51,region_point
1114013200,51,region_point
1114013300,51,region_point
1114013400,51,region_point
1114013500,51,region_point
1114013600,51,region_point
1114013700,51,region_point
1114013800,51,region_point
1114013900,51,region_point
1114014000,51,region_point
1114014100,51,region_point
1114014200,51,region_point
1114014300,51,region_point
1114014400,51,region_point
1114014500,51,region_point
1114014600,51,region_point
1114014700,51,region_point
1114014800,51,region_point
1114014900,51,region_point
1114015000,51,region_point
1114015100,51,region_point
1114015200,51,region_point
1114015300,51,region_point
1114015400,51,region_point
1114015500,51,region_point
1114015600,51,region_point
1114015700,51,region_point
1114015800,51,region_point
1114015900,51,region_point
1114016000,51,region_point
1114016100,51,region_point
1114016200,44,emd_point
1114016300,51,region_point
1114016400,51,region_point
1114016500,41,emd_point
1114016600,51,region_point
1114016700,51,region_point
1114016800,51,region_point
1114016900,51,region_point
1114017000,51,region_point
1114017100,57,emd_point
1114017200,51,region_point
1114017300,51,region_point
1114017400,51,region_point
1117010100,40,emd_point
1117010200,21,region_point
1117010300,21,region_point
1117010400,21,region_point
1117010500,24,emd_point
1117010600,21,region_point
1117010700,21,region_point
1117010800,21,region_point
1117010900,21,region_point
1117011000,21,region_point
1117011100,21,region_point
1117011200,21,region_point
1117011300,21,region_point
1117011400,21,region_point
