point_code,name,lat,lon,altitude,nx,ny,region_id,distance_km,network
96,독도,37.23952,131.86983,99,144,123,,87.3,kma_aws
116,관악(레),37.44526,126.96402,624,60,124,121,0.0,kma_aws
160,부산(레),35.11882,128.99995,512,97,74,53,0.0,kma_aws
175,진도(레),34.47211,126.3238,478,49,59,51,5.0,kma_aws
229,북격렬비도,36.62544,125.55954,104,35,106,,66.7,kma_aws
230,덕적북리,37.2645,126.10297,12,45,120,,47.2,kma_aws
269,안마도,35.3469,126.0305,28,44,78,,40.3,kma_aws
300,말도,35.85799,126.31507,44,49,89,256,36.4,kma_aws
301,임자도,35.09511,126.11638,9,45,73,47,35.4,kma_aws
302,장산도,34.64274,126.18264,6,46,63,51,22.4,kma_aws
303,가거도,34.07275,125.09741,105,27,51,,112.4,kma_aws
304,신지도,34.31801,126.84849,25,58,56,50,5.0,kma_aws
305,여서도,33.98622,126.92009,35,60,49,50,38.1,kma_aws
306,소리도,34.43185,127.8011,3,75,59,27,36.4,kma_aws
308,옥도,34.68703,126.07303,8,44,64,52,31.6,kma_aws
309,판문점,37.9464,126.6866,25,55,135,132,20.6,kma_aws
310,궁촌,37.32471,129.26472,14,99,123,230,11.2,kma_aws
311,가야산,35.78915,128.08673,605,80,88,193,15.8,kma_aws
312,주왕산,36.39314,129.14128,262,98,102,189,11.2,kma_aws
313,양지암,34.88208,128.74127,70,92,69,210,10.0,kma_aws
314,설천봉,35.86621,127.74312,1515,74,90,251,18.0,kma_aws
315,성삼재,35.30673,127.51079,1087,70,78,247,14.1,kma_aws
316,무등산,35.11438,126.99743,911,61,73,41,5.0,kma_aws
317,구이,35.72951,127.11418,105,63,87,242,10.0,kma_aws
318,평창용산,37.65328,128.68208,852,89,129,226,18.0,kma_aws
319,천부,37.53751,130.87154,57,127,129,199,10.0,kma_aws
320,향로봉,38.33104,128.31375,1263,82,144,240,15.8,kma_aws
321,원통,38.1147,128.1963,253,80,139,239,5.0,kma_aws
322,상서,38.20067,127.66263,223,71,141,237,11.2,kma_aws
323,마현,38.27268,127.52551,276,69,142,237,21.2,kma_aws
324,송계,36.91019,128.07446,155,79,113,151,15.8,kma_aws
325,백운,37.14449,128.02526,231,78,118,152,15.0,kma_aws
326,용문산,37.54553,127.61126,191,71,126,146,11.2,kma_aws
327,청주금천,36.62611,127.51278,97,69,106,147,0.0,kma_aws
328,상예,33.2505,126.39838,61,50,32,223,15.8,kma_aws
329,산천단,33.44734,126.56546,377,53,37,222,5.0,kma_aws
330,대흘,33.50081,126.64947,144,55,38,222,10.0,kma_aws
331,제주색달,33.29554,126.42053,431,51,33,223,10.0,kma_aws
332,등봉,37.44343,129.12207,49,97,125,230,5.0,kma_aws
334,중앙,38.20702,128.59194,24,87,141,229,0.0,kma_aws
335,강림,37.36023,128.12553,406,80,123,232,18.0,kma_aws
336,매일,37.56094,128.11021,210,79,127,232,14.1,kma_aws
337,우항,37.4597,128.0632,202,79,125,232,10.0,kma_aws
338,둔내,37.50568,128.21068,486,81,126,232,20.6,kma_aws
339,서원,37.48915,127.8819,251,75,125,232,10.0,kma_aws
340,공근,37.52823,127.98047,137,77,126,232,5.0,kma_aws
344,칠성,36.78757,127.84728,116,75,110,158,7.1,kma_aws
345,학성,37.37462,127.94576,109,77,123,225,7.1,kma_aws
346,강릉구정,37.71199,128.89722,52,93,131,226,5.0,kma_aws
347,귀래,37.22755,127.85685,152,75,120,225,11.2,kma_aws
348,하조대,38.02572,128.71678,6,89,137,241,7.1,kma_aws
349,시동,37.59997,127.84308,275,75,128,231,10.0,kma_aws
