region_id,altitude_m
1,44
2,51
3,21
4,23
5,23
6,24
7,41
8,31
9,37
10,34
11,31
12,41
13,92
14,31
15,17
16,33
17,18
18,31
19,17
20,28
21,71
22,65
23,48
24,17
25,19
26,5
27,9
28,16
29,26
30,9
31,60
32,47
33,108
34,38
35,21
36,49
37,60
38,31
39,31
40,147
41,75
42,25
43,17
44,39
45,31
46,64
47,17
48,38
49,69
50,96
51,12
52,21
53,15
54,0
55,12
56,57
57,20
58,9
59,22
60,18
61,17
62,17
63,38
64,5
65,56
66,14
67,5
68,21
69,44
70,57
71,40
72,68
73,35
74,74
75,57
76,102
77,109
78,12
79,4
80,17
81,32
82,15
83,12
84,26
85,41
86,26
87,13
88,16
89,54
90,64
91,52
92,40
93,44
94,27
95,9
96,47
97,24
98,28
99,22
100,69
101,27
102,65
103,32
104,98
105,50
106,53
107,49
108,41
109,40
110,23
111,45
112,14
113,29
114,13
115,79
116,24
117,9
118,17
119,12
120,13
121,46
122,30
123,111
124,22
125,28
126,75
127,70
128,34
129,122
130,70
131,77
132,35
133,66
134,33
135,58
136,35
137,51
138,34
139,59
140,46
141,55
142,101
143,50
144,67
145,65
146,41
147,79
148,43
149,39
150,46
151,87
152,237
153,169
154,107
155,137
156,65
157,79
158,116
159,156
160,167
161,38
162,30
163,46
164,54
165,32
166,34
167,25
168,123
169,15
170,160
171,12
172,18
173,106
174,31
175,37
176,21
177,1
178,10
179,49
180,69
181,99
182,49
183,150
184,76
185,60
186,82
187,66
188,92
189,195
190,232
191,17
192,132
193,46
194,43
195,38
196,92
197,191
198,12
199,231
200,12
201,42
202,16
203,22
204,64
205,29
206,35
207,75
208,4
209,20
210,54
211,15
212,18
213,19
214,64
215,17
216,24
217,8
218,113
219,168
220,196
221,32
222,87
223,76
224,107
225,147
226,34
227,14
228,669
229,4
230,14
231,143
232,125
233,198
234,294
235,309
236,143
237,113
238,215
239,211
240,18
241,13
242,49
243,39
244,10
245,27
246,43
247,104
248,16
249,59
250,314
251,202
252,464
253,265
254,88
255,50
256,12
