id,name,sido,bjd_code
1,종로구,서울특별시,1111000000
2,중구,서울특별시,1114000000
3,용산구,서울특별시,1117000000
4,성동구,서울특별시,1120000000
5,광진구,서울특별시,1121500000
6,동대문구,서울특별시,1123000000
7,중랑구,서울특별시,1126000000
8,성북구,서울특별시,1129000000
9,강북구,서울특별시,1130500000
10,도봉구,서울특별시,1132000000
11,노원구,서울특별시,1135000000
12,은평구,서울특별시,1138000000
13,서대문구,서울특별시,1141000000
14,마포구,서울특별시,1144000000
15,양천구,서울특별시,1147000000
16,강서구,서울특별시,1150000000
17,구로구,서울특별시,1153000000
18,금천구,서울특별시,1154500000
19,영등포구,서울특별시,1156000000
20,동작구,서울특별시,1159000000
21,관악구,서울특별시,1162000000
22,서초구,서울특별시,1165000000
23,강남구,서울특별시,1168000000
24,송파구,서울특별시,1171000000
25,강동구,서울특별시,1174000000
26,목포시,전남광주통합특별시,1211000000
27,여수시,전남광주통합특별시,1213000000
28,순천시,전남광주통합특별시,1215000000
29,나주시,전남광주통합특별시,1217000000
30,광양시,전남광주통합특별시,1219000000
31,동구,전남광주통합특별시,1221000000
32,서구,전남광주통합특별시,1224000000
33,남구,전남광주통합특별시,1227000000
34,북구,전남광주통합특별시,1230000000
35,광산구,전남광주통합특별시,1233000000
36,담양군,전남광주통합특별시,1271000000
37,곡성군,전남광주통합특별시,1272000000
38,구례군,전남광주통합특별시,1273000000
39,고흥군,전남광주통합특별시,1274000000
40,보성군,전남광주통합특별시,1275000000
41,화순군,전남광주통합특별시,1276000000
42,장흥군,전남광주통합특별시,1277000000
43,강진군,전남광주통합특별시,1278000000
44,해남군,전남광주통합특별시,1279000000
45,영암군,전남광주통합특별시,1280000000
46,무안군,전남광주통합특별시,1281000000
47,함평군,전남광주통합특별시,1282000000
48,영광군,전남광주통합특별시,1283000000
49,장성군,전남광주통합특별시,1284000000
50,완도군,전남광주통합특별시,1285000000
51,진도군,전남광주통합특별시,1286000000
52,신안군,전남광주통합특별시,1287000000
53,중구,부산광역시,2611000000
54,서구,부산광역시,2614000000
55,동구,부산광역시,2617000000
56,영도구,부산광역시,2620000000
57,부산진구,부산광역시,2623000000
58,동래구,부산광역시,2626000000
59,남구,부산광역시,2629000000
60,북구,부산광역시,2632000000
61,해운대구,부산광역시,2635000000
62,사하구,부산광역시,2638000000
63,금정구,부산광역시,2641000000
64,강서구,부산광역시,2644000000
65,연제구,부산광역시,2647000000
66,수영구,부산광역시,2650000000
67,사상구,부산광역시,2653000000
68,기장군,부산광역시,2671000000
69,중구,대구광역시,2711000000
70,동구,대구광역시,2714000000
71,서구,대구광역시,2717000000
72,남구,대구광역시,2720000000
73,북구,대구광역시,2723000000
74,수성구,대구광역시,2726000000
75,달서구,대구광역시,2729000000
76,달성군,대구광역시,2771000000
77,군위군,대구광역시,2772000000
78,제물포구,인천광역시,2812500000
79,영종구,인천광역시,2815500000
80,미추홀구,인천광역시,2817700000
