id,name,sido,bjd_code,pnu_code,deepsoil_texture,deepsoil_gravel,soil_slope
1,종로구,서울특별시,1111000000,1111010100100560064,사양질,없음_0-15%,경사_7-15%
2,중구,서울특별시,1114000000,1114010100100970006,사양질,있음_15-35%,경사_2-7%
3,용산구,서울특별시,1117000000,1117010100104090115,사질,심함_35%이상,경사_15-30%
4,성동구,서울특별시,1120000000,1120010100101960001,사양질,없음_0-15%,경사_0-2%
5,광진구,서울특별시,1121500000,1121510100106850019,미사식양질,없음_0-15%,경사_0-2%
6,동대문구,서울특별시,1123000000,1123010100100970015,사양질,없음_0-15%,경사_0-2%
7,중랑구,서울특별시,1126000000,1126010100104660040,식양질,없음_0-15%,경사_2-7%
8,성북구,서울특별시,1129000000,1129010100100600037,사양질,없음_0-15%,경사_2-7%
9,강북구,서울특별시,1130500000,1130510100107540009,사양질,심함_35%이상,경사_7-15%
10,도봉구,서울특별시,1132000000,1132010500104600293,사양질,없음_0-15%,경사_15-30%
11,노원구,서울특별시,1135000000,1135010200103920152,사질,심함_35%이상,경사_15-30%
12,은평구,서울특별시,1138000000,1138010100104150004,사양질,있음_15-35%,경사_30-60%
13,서대문구,서울특별시,1141000000,1141010100100160012,미사사양질,없음_0-15%,경사_0-2%
14,마포구,서울특별시,1144000000,1144010100103300001,사양질,없음_0-15%,경사_2-7%
15,양천구,서울특별시,1147000000,1147010100112020009,식양질,있음_15-35%,경사_15-30%
16,강서구,서울특별시,1150000000,1150010100102640030,식양질,있음_15-35%,경사_7-15%
17,구로구,서울특별시,1153000000,1153010100102910043,미사사양질,없음_0-15%,경사_0-2%
18,금천구,서울특별시,1154500000,1154510100102350015,식양질,없음_0-15%,경사_2-7%
19,영등포구,서울특별시,1156000000,1156010100106200447,식양질,있음_15-35%,경사_7-15%
20,동작구,서울특별시,1159000000,1159010100103360001,,,
21,관악구,서울특별시,1162000000,1162010100109310012,사양질,없음_0-15%,경사_0-2%
22,서초구,서울특별시,1165000000,1165010100109800042,사양질,없음_0-15%,경사_2-7%
23,강남구,서울특별시,1168000000,1168010100107340000,사양질,있음_15-35%,경사_15-30%
24,송파구,서울특별시,1171000000,1171010100102270016,사질,없음_0-15%,경사_0-2%
25,강동구,서울특별시,1174000000,1174010100103340009,식양질,있음_15-35%,경사_7-15%
53,중구,부산광역시,2611000000,2611010100102780008,식양질,있음_15-35%,경사_30-60%
54,서구,부산광역시,2614000000,2614010100101010006,식양질,심함_35%이상,경사_7-15%
55,동구,부산광역시,2617000000,2617010100600000021,,,
56,영도구,부산광역시,2620000000,2620010100101430002,식양질,있음_15-35%,경사_7-15%
57,부산진구,부산광역시,2623000000,2623010100100610058,식양질,있음_15-35%,경사_15-30%
58,동래구,부산광역시,2626000000,2626010100105140016,식양질,없음_0-15%,경사_7-15%
59,남구,부산광역시,2629000000,2629010600112810024,식양질,심함_35%이상,경사_15-30%
