variable,ideal_value,ideal_min,ideal_max,unit,method,source,scope
temperature_09001_04-10,16.5,14.5,18.5,C,지역 월평균 대기기온의 4~10월 산술평균(data/03_weather_monthly_modified.csv). [확인 필요] 원 출처(arccas 재배적지 표)가 '생육기기온'을 어떤 기준기간·관측고도·공간해상도로 산출했는지 미확인 — 우리 산출 방식과 동일하다는 보장이 없다.,"memory/crop_rules/09001 (사과 문헌 시드, 2026-08-03-v3)",crop:09001:사과:months=04-10
soil_available_p_09001,250.0,200.0,300.0,mg/kg,"Lancaster법(국내 표준). 2026-08-03 갱신 — 농촌진흥청 「토양 및 식물체 분석」(2007) 국내 표준이 Lancaster로 확정됐고(national-agri-environment-monitoring-2020.md), 종전에 6배 갈림의 근거로 삼던 'RDA 비료사용처방 Bray-1 30~50 mg/kg'은 원문에 존재하지 않는 창작 수치로 확인됐다(kfia-inorganic-fertilizer-guide-2022.md, 322쪽 중 Bray 0건). 6배 프로토콜 갈림 우려는 해소. [확인 필요] 교본 자체에는 추출법 표기가 없고 실측측(흙토람) 추출법도 미확인.","memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
soil_organic_matter_09001,30.0,25.0,35.0,g/kg,unknown [확인 필요] — 정량법 미명시. 단위 g/kg 확인.,"memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
soil_ph_09001,6.25,6.0,6.5,-,unknown [확인 필요] — 교본이 pH 추출비를 명시하지 않는다.,"memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
soil_k_09001,0.75,0.6,0.9,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
soil_ca_09001,,5.0,,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
soil_mg_09001,1.75,1.5,2.0,cmol/kg,unknown [확인 필요] — 교본이 치환성 양이온 침출액(1N NH4OAc 등)을 명시하지 않는다. 단위 cmol/kg만 확인.,"memory/crop_rules/09001 (사과 작물전용 밴드, 2026-08-03-v3)",crop:09001:사과:soil
physical_slope_pct_09001,7.5,0.0,15.0,%,지역 대표 경사 등급코드(data/02_soil_physical_modified.csv slope_code)를 그 등급 구간의 상한 %로 환산(_shared.json physical_code_maps). 등급 내 최악값 대표라는 보수적 근사 [확인 필요].,"memory/crop_rules/09001 (사과 물리성 밴드, 2026-08-03-v3)",crop:09001:사과:physical
temperature_04009_04-09,26.5,25.0,28.0,C,"지역 월평균 대기기온의 4~9월 산술평균. 원 문헌은 '생육적온(주간) 대기 기온'이라 대상 물리량은 일치하나 문헌은 주간, 우리는 월평균(주야 혼합)이라 [확인 필요]. 근권 지온이 아님은 확인됨(2026-07-25 P14 교체 경위).","memory/crop_rules/04009 (오이 문헌 시드, 2026-08-03-v3)",crop:04009:오이:months=04-09
soil_ph_04009,6.25,6.0,6.5,-,"1:5 물(H2O) 침출, pH meter. 처방 5차 화학성 표 헤더가 pH(1:5)로 명시하고 농촌진흥청 「토양 및 식물체 분석」(2007) 국내 표준과 일치한다(knowledge-base/papers/common/national-agri-environment-monitoring-2020.md 측정법 표). [확인 필요] 실측측(흙토람 API -> data/01_soil_chemistry_modified.csv pH)의 추출비·용매는 여전히 미확인 — 같은 시료가 pH(H2O) 5.8 / pH(KCl) 4.6으로 1.2 갈리는 사례 확인됨(korean-soil-drainage-idonghyun-2023).","memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
soil_organic_matter_04009,25.0,20.0,30.0,g/kg,"Tyurin법, 그늘 풍건 후 20 mesh 체 통과 시료. 국내 표준(national-agri-environment-monitoring-2020.md). [확인 필요] 실측측 정량법 미확인.","memory/crop_rules/04009 (오이 작물전용 밴드, 2026-08-03-v3)",crop:04009:오이:soil
