row,label,variable,original_value,detector,replaced
68,전북특별자치도 완주군,organic_matter,43.491,knn_residual_modified_z>3.5,False
43,경상남도 진주시 초전동,available_p,1288.91,knn_residual_modified_z>3.5,False
87,경상북도 성주군,available_p,1261.474,knn_residual_modified_z>3.5,False
51,강원특별자치도 삼척시 근덕면,k,1.965,knn_residual_modified_z>3.5,False
12,강원특별자치도 속초시 대포동,ca,1.35,knn_residual_modified_z>3.5,False
31,강원특별자치도 삼척시 미로면,ca,14.42,knn_residual_modified_z>3.5,False
51,강원특별자치도 삼척시 근덕면,ca,14.42,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,ca,12.311,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,mg,3.045,knn_residual_modified_z>3.5,False
3,경상남도 통영시 광도면,ec,1.57,knn_residual_modified_z>3.5,False
29,전북특별자치도 부안군 계화면,ec,0.365,knn_residual_modified_z>3.5,False
49,전북특별자치도 완주군 이서면,ec,0.5,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,ec,1.833,knn_residual_modified_z>3.5,False
59,충청남도 당진시,ec,0.388,knn_residual_modified_z>3.5,False
85,전북특별자치도 군산시 개정면,ec,6.4,knn_residual_modified_z>3.5,False
102,전북특별자치도 김제시 부량면,ec,0.5,knn_residual_modified_z>3.5,False
143,경상남도 합천군 용주면,ec,0.2,knn_residual_modified_z>3.5,False
1,강원특별자치도 태백시,temp_raw_09001,15.114285714285714,knn_residual_modified_z>3.5,False
30,강원특별자치도 홍천군,temp_raw_09001,16.54285714285714,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,temp_raw_09001,19.685714285714287,knn_residual_modified_z>3.5,False
82,전북특별자치도 장수군,temp_raw_09001,18.8,knn_residual_modified_z>3.5,False
1,강원특별자치도 태백시,temp_raw_09011,15.114285714285714,knn_residual_modified_z>3.5,False
30,강원특별자치도 홍천군,temp_raw_09011,16.54285714285714,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,temp_raw_09011,19.685714285714287,knn_residual_modified_z>3.5,False
82,전북특별자치도 장수군,temp_raw_09011,18.8,knn_residual_modified_z>3.5,False
1,강원특별자치도 태백시,temp_raw_07001,11.2,knn_residual_modified_z>3.5,False
19,제주특별자치도 제주시,temp_raw_07001,19.674999999999997,knn_residual_modified_z>3.5,False
30,강원특별자치도 홍천군,temp_raw_07001,12.575,knn_residual_modified_z>3.5,False
51,강원특별자치도 삼척시 근덕면,temp_raw_07001,16.825,knn_residual_modified_z>3.5,False
1,강원특별자치도 태백시,temp_raw_03001,9.4,knn_residual_modified_z>3.5,False
30,강원특별자치도 홍천군,temp_raw_03001,10.35,knn_residual_modified_z>3.5,False
1,강원특별자치도 태백시,temp_raw_04009,16.016666666666666,knn_residual_modified_z>3.5,False
30,강원특별자치도 홍천군,temp_raw_04009,17.383333333333333,knn_residual_modified_z>3.5,False
52,충청북도 제천시 봉양읍,temp_raw_04009,20.483333333333334,knn_residual_modified_z>3.5,False
