indicator,multiplier,n,spearman,mean_deviation,mae
ph,1.0,126,0.9423,2.9153,3.1645
ph,1.5,126,0.9423,2.9153,3.1645
ph,2.0,126,0.9423,2.9153,3.1645
ph,2.5,126,0.9423,2.9153,3.1645
ph,3.0,126,0.9423,2.9153,3.1645
ec,1.0,103,0.9997,-0.3039,0.667
ec,1.5,103,0.9997,-0.3039,0.667
ec,2.0,103,0.9997,-0.3039,0.667
ec,2.5,103,0.9997,-0.3039,0.667
ec,3.0,103,0.9997,-0.3039,0.667
organic_matter,1.0,126,0.9759,1.201,2.0473
organic_matter,1.5,126,0.9759,1.201,2.0473
organic_matter,2.0,126,0.9759,1.201,2.0473
organic_matter,2.5,126,0.9759,1.201,2.0473
organic_matter,3.0,126,0.9759,1.201,2.0473
available_p,1.0,126,0.9897,-0.7721,3.4443
available_p,1.5,126,0.9897,-0.3219,3.0282
available_p,2.0,126,0.9897,-0.0264,2.8569
available_p,2.5,126,0.9897,0.182,2.7469
available_p,3.0,126,0.9897,0.3386,2.6799
k,1.0,105,0.9927,1.2647,1.6119
k,1.5,105,0.9927,1.3542,1.5359
k,2.0,105,0.9927,1.4062,1.5225
k,2.5,105,0.9927,1.4405,1.513
k,3.0,105,0.9927,1.4649,1.5058
