region_code,region_name,match_level,match_level_used,ec,ec_median,ec_n_samples,unit,source,fetched_at,is_imputed,quality_flag,schema_version
4420025000,충청남도 아산시 염치읍,eupmyeondong,sigungu_fallback,0.753,0.45,285,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5119000000,강원특별자치도 태백시,sigungu,sigungu,0.569,0.35,371,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4150010300,경기도 이천시 중리동,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4822034000,경상남도 통영시 광도면,eupmyeondong,sigungu_fallback,2.119,1.57,40,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4374525000,충청북도 증평군 증평읍,eupmyeondong,sigungu_fallback,0.895,0.895,2,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4163031000,경기도 양주시 은현면,eupmyeondong,sigungu_fallback,1.967,0.56,740,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4374040000,충청북도 영동군 심천면,eupmyeondong,sigungu_fallback,0.791,0.4,327,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4725033000,경상북도 상주시 낙동면,eupmyeondong,sigungu_fallback,2.18,0.97,255,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1217043000,전남광주통합특별시 나주시 봉황면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4423032000,충청남도 논산시 광석면,eupmyeondong,sigungu_fallback,2.701,0.9,115,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5176036000,강원특별자치도 평창군 진부면,eupmyeondong,sigungu_fallback,1.097,0.375,20,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5117011200,강원특별자치도 동해시 북평동,eupmyeondong,sigungu_fallback,1.398,0.62,89,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5121011000,강원특별자치도 속초시 대포동,eupmyeondong,sigungu_fallback,0.21,0.21,2,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5175025000,강원특별자치도 영월군 영월읍,eupmyeondong,sigungu_fallback,1.296,0.58,173,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5219025000,전북특별자치도 남원시 운봉읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
1278031000,전남광주통합특별시 강진군 군동면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4713000000,경상북도 경주시,sigungu,sigungu,1.522,0.54,4,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4782000000,경상북도 청도군,sigungu,sigungu,0.813,0.58,110,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4775032000,경상북도 청송군 부남면,eupmyeondong,sigungu_fallback,0.658,0.365,184,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5011000000,제주특별자치도 제주시,sigungu,sigungu,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4155031000,경기도 안성시 보개면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5176000000,강원특별자치도 평창군,sigungu,sigungu,1.097,0.375,20,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4150000000,경기도 이천시,sigungu,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4831034000,경상남도 거제시 거제면,eupmyeondong,sigungu_fallback,0.717,0.39,11,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4375025000,충청북도 진천군 진천읍,eupmyeondong,sigungu_fallback,2.79,1.022,178,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4183025000,경기도 양평군 양평읍,eupmyeondong,sigungu_fallback,0.6,0.31,513,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4373025000,충청북도 옥천군 옥천읍,eupmyeondong,sigungu_fallback,0.429,0.34,97,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4728010300,경상북도 문경시 흥덕동,eupmyeondong,eupmyeondong,0.496,0.46,19,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1273025000,전남광주통합특별시 구례군 구례읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5280034000,전북특별자치도 부안군 계화면,eupmyeondong,sigungu_fallback,0.535,0.365,97,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5172000000,강원특별자치도 홍천군,sigungu,sigungu,0.7,0.37,65,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5123034000,강원특별자치도 삼척시 미로면,eupmyeondong,sigungu_fallback,1.422,1.34,5,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5183025000,강원특별자치도 양양군 양양읍,eupmyeondong,sigungu_fallback,0.193,0.165,9,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5113037000,강원특별자치도 원주시 흥업면,eupmyeondong,sigungu_fallback,1.898,1.6,6,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5219042000,전북특별자치도 남원시 이백면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
1274031000,전남광주통합특별시 고흥군 풍양면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4711000000,경상북도 포항시,sigungu,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4782033000,경상북도 청도군 각북면,eupmyeondong,sigungu_fallback,0.813,0.58,110,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4792032000,경상북도 봉화군 봉성면,eupmyeondong,sigungu_fallback,0.454,0.2,440,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5011013400,제주특별자치도 제주시 오등동,eupmyeondong,sigungu_fallback,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4180025000,경기도 연천군 연천읍,eupmyeondong,sigungu_fallback,1.141,0.29,198,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5181025000,강원특별자치도 인제군 인제읍,eupmyeondong,sigungu_fallback,1.356,0.5,158,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4165039000,경기도 포천시 영북면,eupmyeondong,sigungu_fallback,2.025,0.75,230,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4817012200,경상남도 진주시 초전동,eupmyeondong,sigungu_fallback,1.055,0.61,11,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4311000000,충청북도 청주시,sigungu,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4182025000,경기도 가평군 가평읍,eupmyeondong,sigungu_fallback,1.838,0.495,138,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4425031000,충청남도 계룡시 두마면,eupmyeondong,sigungu_fallback,0.64,0.34,225,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4723025000,경상북도 영천시 금호읍,eupmyeondong,sigungu_fallback,1.215,0.8,71,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1217039000,전남광주통합특별시 나주시 금천면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5271033000,전북특별자치도 완주군 이서면,eupmyeondong,sigungu_fallback,1.462,0.5,450,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5180000000,강원특별자치도 양구군,sigungu,sigungu,1.421,0.435,66,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5123031000,강원특별자치도 삼척시 근덕면,eupmyeondong,sigungu_fallback,1.422,1.34,5,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4315025000,충청북도 제천시 봉양읍,eupmyeondong,sigungu_fallback,1.786,1.833,34,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5277040000,전북특별자치도 순창군 구림면,eupmyeondong,sigungu_fallback,0.498,0.279,194,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1281033000,전남광주통합특별시 무안군 청계면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4711300000,경상북도 포항시 북구,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4782025000,경상북도 청도군 화양읍,eupmyeondong,sigungu_fallback,0.813,0.58,110,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4792000000,경상북도 봉화군,sigungu,sigungu,0.454,0.2,440,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5011025600,제주특별자치도 제주시 구좌읍,eupmyeondong,sigungu_fallback,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4427000000,충청남도 당진시,sigungu,sigungu,0.596,0.388,295,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5177025000,강원특별자치도 정선군 정선읍,eupmyeondong,sigungu_fallback,0.639,0.381,154,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4167011200,경기도 여주시 상거동,eupmyeondong,sigungu_fallback,1.977,0.8,131,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4884031000,경상남도 남해군 이동면,eupmyeondong,sigungu_fallback,0.698,0.5,222,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4313012200,충청북도 충주시 안림동,eupmyeondong,sigungu_fallback,1.773,1.325,6,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4165034000,경기도 포천시 신북면,eupmyeondong,sigungu_fallback,2.025,0.75,230,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4471031000,충청남도 금산군 금성면,eupmyeondong,sigungu_fallback,2.069,0.46,155,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4773025000,경상북도 의성군 의성읍,eupmyeondong,sigungu_fallback,0.951,0.544,94,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1217037000,전남광주통합특별시 나주시 문평면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5271000000,전북특별자치도 완주군,sigungu,sigungu,1.462,0.5,450,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4777037000,경상북도 영덕군 병곡면,eupmyeondong,sigungu_fallback,0.777,0.5,61,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1272031000,전남광주통합특별시 곡성군 오곡면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
1217034000,전남광주통합특별시 나주시 공산면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
3171031000,울산광역시 울주군 서생면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4782034000,경상북도 청도군 이서면,eupmyeondong,sigungu_fallback,0.813,0.58,110,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4717032000,경상북도 안동시 북후면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5011025000,제주특별자치도 제주시 한림읍,eupmyeondong,sigungu_fallback,0.437,0.36,29,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4128000000,경기도 고양시,sigungu,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5177035000,강원특별자치도 정선군 임계면,eupmyeondong,sigungu_fallback,0.639,0.381,154,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4146100000,경기도 용인시 처인구,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4824012600,경상남도 사천시 송포동,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4377031000,충청북도 음성군 소이면,eupmyeondong,sigungu_fallback,0.609,0.329,367,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5178025900,강원특별자치도 철원군 동송읍,eupmyeondong,sigungu_fallback,1.082,0.545,435,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
5274000000,전북특별자치도 장수군,sigungu,sigungu,0.355,0.17,345,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4729033000,경상북도 경산시 자인면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
1215035000,전남광주통합특별시 순천시 주암면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
5213036000,전북특별자치도 군산시 개정면,eupmyeondong,sigungu_fallback,6.4,6.4,1,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4793040000,경상북도 울진군 매화면,eupmyeondong,sigungu_fallback,1.735,0.23,60,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
4784000000,경상북도 성주군,sigungu,sigungu,3.038,1.49,550,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
1281034000,전남광주통합특별시 무안군 현경면,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
3171026200,울산광역시 울주군 청량읍,eupmyeondong,none,NA,NA,0,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,missing_no_data,1
4827034000,경상남도 밀양시 산내면,eupmyeondong,sigungu_fallback,3.275,0.8,39,ec:dS/m,"SoilEnviron/SoilExam/V2 (getSoilExamList, elcd 필지 단위 실측 평균)",2026-07-24,FALSE,ok,1
